C_ID,T_ID,Text,Completion
0,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 중국 300만장 주느라 국민은 맨입으로 다니라고 한 놈 누구냐????,
유저0: 보통 엄마들이 아빠한테 콩깍지 벗겨지고 애기한테 콩깍지 씌이는데.. 바뀌었네,
유저0: 여행가방 같은 게 많아서 자기꺼 표시해야됨,
유저0: 또무엇을덮으려고..이렇게 줄줄이 터트리시나...,
유저1: 민주당 찍은인간들도 다욕하는데 뭔솔?주변에 민주당지지자 찾기가 더힘든데?부울경권,
유저0: 박보검 일요일만 기다려 요즘 재방만 본다 ㅋㅋ,
유저1: 얼굴만 봐도 이중적이게 생겼는데...,
유저2: 아내의 맛이 아니라 ""남편의 돈맛"",
유저2: 저건 오징어가 아닌 한치..ㅉㅉ,
유저0: 변기 목이 걸고나오지 그랫냥","중립,중립,중립,중립,중립,중립,성희롱/혐오,중립,중립,중립"
1,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 박경림은 좀 짜져라 인성 개 ㅊㄹ년",욕설/비하/모욕
2,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 두 년놈을 가랭이부터 쫙 찢어버릴까?,
유저1: 맞을만한 짓하는여자들이 어디 한둘이냐?,
유저1: 양아치 쉐키들 옛날에 박신양도 이것때문에 출연료 못받은거 달라고 했다 제명당하고 방송사 출연금지 시키더니양아치쉐리들,
유저0: 사진내려라 시발,
유저2: 틀니 틀딱 재앙이 빠는 늙다리 맘충 년들,
유저2: 전라도것들은 다른 나라 자동차번호판에 지역표기 있는거 절대 말안함","욕설/비하/모욕,성희롱/혐오,욕설/비하/모욕,욕설/비하/모욕,욕설/비하/모욕,성희롱/혐오"
3,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 진짜못생겻다,
유저1: 시상에나...지인이를 오랜만에 TV를 통해서 보게 될 줄이야..ㅠ.ㅠ여전히 이쁘네,
유저1: 썅... 드럽게 생겼네... 캭 퉤,
유저1: 자한당 어디까지 엮인거야ㅎㅎㅎ,
유저2: 난 머야ㅜㅜ 나이 41살 처녀인데 남친두 없다,
유저0: 규현을 군대보내는게 아니었어,
유저3: 이상윤씨 화이팅!,
유저1: 목사란 새끼가 이게 지금 뭐하는 짓이야?? 하늘에서 예수가 통곡할거다,
유저4: 계집은 가슴크고 허벅지 튼실하면 짱이치","성희롱/혐오,중립,성희롱/혐오,중립,중립,중립,중립,욕설/비하/모욕,성희롱/혐오"
4,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 사회주의가 뭔지도 모르는 늙이이 주재에,
유저0: 남편이 마누라를 휘어잡질 않으니 마누라가 기가 살아가지고 말대꾸 꼬박꼬박 ..에휴ㅉ,
유저1: 니정도면 줠라 잘나가고 성공하고 돈 오지게벌었을텐데 무슨 개수작인지,
유저1: 중국 북한 공산당들 생떼 쓰는건 가관이다,
유저2: 가식쩌는것들문재앙 뽑은것들,
유저1: 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,
유저1: 진짜 쪽바리 왜케 많냐 삼족 멸헐 넘들,
유저2: 조.센.징 = 바.퀴.벌.레,
유저2: 서울 집값은 더럽게 비싼데 건물들 따닥따닥 붙어서 햇빛도 충분히 안들어오고 사람들 개많고 병없던 나도 정신병 오더라 기안 힘내요,
유저2: 표절곡 겁나 많던데 ㅋㅋㅋ 과거미화 오졌다리","성희롱/혐오,성희롱/혐오,욕설/비하/모욕,중립,성희롱/혐오,중립,성희롱/혐오,성희롱/혐오,중립,중립"
5,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 아빠닮아 얼굴이 빻았어도 부모가 돈이 많으니 성형수술비 걱정은 없겠네,
유저0: 사귀는 사람 있고 임신한 상태에서 비행소녀 찍어, 시청자 속여, 계약해놓고 내팽개치고 잠적해서 찾게 만들어... 솔직히 임신하든 아이를 낳고 행복하든 상관은 없는데 대놓고 민폐는 주면 안되지. 근데 자기일 팽개치고 나간 사람을 왜 자꾸 기사 띄우는 거임?,
유저1: 고릴라 개독 부겸놈을 사랑하는 전라도 고릴라년의 자작극이 아닐까?,
유저1: 진짜 tvn에 나영석 없었으면 어쩔뻔ㅋ~ 업고다녀도 모자람,
유저0: 좌파탈출은 지능순인데 나이먹도록 좌파인건 구제가 안됨...","성희롱/혐오,중립,욕설/비하/모욕,중립,성희롱/혐오"
6,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: [G_BOT] 안녕하세요! 지보드에 오신 것을 환영합니다. 귀하의 복사본은 여기에 저장될 것입니다.
유저1: ??
유저2: ??
유저3: ???
유저4: ???
유저5: ????
유저6: ???","중립,중립,중립,중립,중립,중립,중립"
7,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 20대 남자들이 좆으로 보이지 민좆당 OOO들아?",욕설/비하/모욕
8,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 개나 소나 국민청원.. 한심하다 청원할걸 좀 해라 음주운전 법 강화라던지 쓸데없는 청원 넣지말고 이것도 정치적인거냐? 다른 기사 막으려고 막 청원넣냐,
유저1: 제발 김정은 뒤저라 씸발돼지쉑아,
유저2: 깜깜이 정치, 깜깜이 문씨가 문제다!,
유저3: 나도 여자인데 보면 뚱뚱한 여자들이 대부분 좀 게으르고 지저분한건 사실임. 성격도 안좋음.,
유저3: 니들 그 오보때문에 스폰이니뭐니 욕을얼마나먹었는데 정정한다는말하나로 끝내네 사과똑바로해라","중립,욕설/비하/모욕,성희롱/혐오,성희롱/혐오,중립"
9,0,"이것은 각 유저가 채팅을 입력한 맥락이 악성인지 판단하는 분류기이다.
유저의 각 채팅은 맥락에 따라 분류된다.
분류는 (욕설/모욕/위협, 성희롱/혐오, 도배/홍보, 중립) 이다.
각 분류에 대한 우선순위는 (욕설/모욕/위협 > 성희롱/혐오 > 도배/스팸 > 중립) 으로 중립이 가장 낮다.
분류기에 의하여 각 채팅에 대한 분류를 출력한다.
유저0: 좌파독재 저지하라~!,
유저0: 다음은 NRG 갑시다,
유저1: 아 강호동 이수근 지겹다 노잼,
유저1: 518빨갱이 폭동 맞는데 어쩔?,
유저1: 딸이 철딱서니 너무 없더라 ㅠ,
유저0: 예수랑 열애하고 유기농 야채 먹는 게 특종이니. 디패야 말해봐","성희롱/혐오,중립,중립,성희롱/혐오,중립,중립"
